name,description,link,newprice,discount,oldprice,img,location,lat,long
"03 Tháng Bơi Lội Tại Trung Tâm TDTT Kỳ Hòa 2","Rèn Luyện Thể Chất Khỏe Mạnh, Dẻo Dai, Thỏa Thích Đắm Mình Trong Dòng Nước Mát Cùng 03 Tháng Bơi Lội Tại Trung Tâm TDTT Kỳ Hòa 2. Voucher 700.000 VNĐ, Còn 250.000 VNĐ, Giảm 64%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/03-thang-boi-loi-tai-tttd-ky-hoa-2-222291.html,"250,000","-64%","700,000","http://images-hd.vinacdn.com/images/919/918580/500x500/222291-03-thang-boi-loi-tai-tttd-ky-hoa-2.jpg","796 Sư Vạn Hạnh, Phường 12, Quận 10, TP.Hồ Chí Minh","10.774139499689003","106.66833166183244",
"Buffet Tối Hanayoshi Hơn 70 Món Nướng, Hải Sản, Sushi Nhật & Lẩu Bò Mỹ – Đặc Biệt Tặng Buffet Kem","Ăn Thỏa Thích Với Tiệc Buffet Tối Hơn 70 Món Nướng, Lẩu Bò Mỹ Và Hải Sản, Sushi Nhật, Miễn Phí Buffet Kem Tại Nhà Hàng Hanayoshi. Voucher 360,000 VNĐ, Còn 269,000 VNĐ, Giảm 25%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-toi-hanayoshi-hon-70-mon-nuong-hai-san-sushi-nhat-lau-bo-my-dac-biet-tang-buffet-kem-237978.html,"269,000","-25%","360,000","http://images-hd.vinacdn.com/images/956/955957/500x500/237978-buffet-toi-hanayoshi-hon-70-mon-nuong-hai-san-sushi-nhat-lau-bo-my-dac-biet-tang-buffet-kem.jpg","1 Lê Ngô Cát, P.7, Q.3","10.776584","106.68494199999998",
"Buffet Nướng Lẩu Hải Sản, Bò Mỹ Cao Cấp Gần 100 Món Tại Sườn No.1","Đắm Chìm Trong Bữa Tiệc Buffet Nướng Lẩu Hải Sản, Bò Mỹ Cao Cấp Với Gần 100 Món Tại Bàn Theo Công Nghệ Nướng Không Khói Tại Sườn No.1. Voucher 299,000 VNĐ, Còn 189,000 VNĐ, Giảm 37%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-nuong-lau-hai-san-bo-my-gan-100-mon-tri-an-khach-hang-suon-no.1-222680.html,"189,000","-37%","299,000","http://images-hd.vinacdn.com/images/914/913759/500x500/222680-buffet-nuong-lau-hai-san-bo-my-gan-100-mon-tri-an-khach-hang-suon-no.1.jpg","số 158 Thành Thái, Quận 10","10.7681074","106.66691620000006",
"Buffet Trưa/ Tối BBQ Bò Mỹ - Hải Sản - Lẩu Gần 60 Món - Nhà Hàng Flame","Tha Hồ Thưởng Thức Và Khám Phá Thực Đơn Gần 60 Món Đặc Sắc - Buffet Trưa/ Tối BBQ Bò Mỹ - Hải Sản - Lẩu - Tại Nhà Hàng Flame. Voucher 250.000 VNĐ, Còn 119.000 VNĐ, Giảm 52%, Chỉ Có Duy Nhất Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-trua-toi-bbq-tai-nha-hang-flame-234293.html,"119,000","-52%","250,000","http://images-hd.vinacdn.com/images/943/943276/500x500/234293-buffet-trua-toi-bbq-tai-nha-hang-flame.jpg","392 Phạm Hùng, Phường 5, Quận 8","10.7368342","106.67127099999993",
"Vui Chơi Thỏa Thích Tại Làng Xì Trum - TTTM Now Zone Với 30 Xu Chơi Game","Giải Tỏa Stress Cùng Những Trò Chơi Thú Vị Như Đua Xe, Bắn Súng, Bắn Cá, Thú Nhún, Đập Búa, Nhảy Pump, Danz Base, Gắp Thú… Với Ưu Đãi: 30 Xu Chơi Game Tại Làng Xì Trum. Voucher 105,000 VNĐ, Còn 55,000 VNĐ, Giảm 48%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/combo-30-xu-choi-game-tai-lang-xi-trum-tttm-now-zone-235686.html,"55,000","-48%","105,000","http://images-hd.vinacdn.com/images/950/950055/500x500/235686-combo-30-xu-choi-game-tai-lang-xi-trum-tttm-now-zone.jpg","Gian Hàng   039  ,Lầu 4 TTTM Nowzone – 235 Nguyễn Văn Cừ , P. Nguyễn Cư  Trinh, Q1","10.764032","106.68322999999998",
"Khu Vui Chơi Maika Wonderland - Trọn Gói Vui Chơi Không Giới Hạn Cho Bé Yêu","Đến Với Khu Vui Chơi Trẻ Em Maika Wonderland - Cho Bé Yêu Nhà Bạn Cơ Hội Được Vui Chơi Thỏa Thích, Kết Hợp Với Việc Rèn Luyện Thể Chất, Trí Tuệ. Voucher 120,000 VNĐ, Còn 59,000 VNĐ, Giảm 51%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/dao-tao-giai-tri/vui-choi-khong-gioi-han-cho-be-tai-kvc-maika-wonderland-231425.html,"59,000","-51%","120,000","http://images-hd.vinacdn.com/images/933/933255/500x500/231425-vui-choi-khong-gioi-han-cho-be-tai-kvc-maika-wonderland.jpg","129 Trần Huy Liệu, F. 8, Phú Nhuận","10.790906","106.678403",
"Massage Đá Nóng + Xông Hơi, Ngâm Chân + Đắp Mặt Nạ + Tắm Dưỡng Cám Gạo Tại Pinky Spa","Thư Giãn Toàn Thân Với Gói Dịch Vụ: Massage Body Đá Nóng + Đắp Mặt Nạ + Ngâm Chân Và Massage Chân + Tắm Dưỡng Cám Gạo Tại Pinky Spa. Voucher 500.000 VNĐ, Còn 79.000 VNĐ, Giảm 84%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/spa-lam-dep/thu-gian-toan-than-voi-goi-dich-vu-massage-body-da-nong-dap-mat-na-ngam-chan-va-massage-chan-tam-duong-cam-gao-tai-pinky-spa-221424.html,"79,000","-84%","500,000","http://images-hd.vinacdn.com/images/908/908170/500x500/221424-thu-gian-toan-than-voi-goi-dich-vu-massage-body-da-nong-dap-mat-na-ngam-chan-va-massage-chan-tam-duong-cam-gao-tai-pinky-spa.jpg","190E Huỳnh Văn Bánh, p12, q.Phú Nhuận","10.791985","106.67711699999995",
"[Phan Thiết] Ocean Dune Resort 4* 2N1Đ - 01 Bữa Ăn Trưa/ Tối - Dành Cho 02 Khách","Ocean Resort 4* 2N1Đ - 01 Bữa Ăn Trưa/ Tối - Dành Cho 02 Khách. Voucher 3,880,000 VNĐ, Còn 1,098,000 VNĐ, Giảm 72%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/du-lich/phan-thiet-ocean-dune-resort-4-2n1d-01-bua-an-trua-toi-danh-cho-02-khach-232600.html,"1,098,000","-72%","3,880,000","http://images-hd.vinacdn.com/images/936/936447/500x500/232600-phan-thiet-ocean-dune-resort-4-2n1d-01-bua-an-trua-toi-danh-cho-02-khach.jpg","","10.932307108082227","108.11104096931149",
"Seoul Garden - Buffet Trưa / Tối Nướng & Lẩu Không Khói Tại Nam Kỳ Khởi Nghĩa Quận 3","Thưởng Thức Buffet Trưa Với Hơn 200 Món Ăn Trong Không Gian Ấm Cúng, Hiện Đại Tại Nhà Hàng Seoul Garden. Voucher 329,000 VNĐ, Còn 219,000 VNĐ, Giảm 33%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/seoul-garden-_nam-ky-khoi-nghia-242699.html,"219,000","-33%","329,000","http://images-hd.vinacdn.com/images/967/967380/500x500/242699-seoul-garden-_nam-ky-khoi-nghia.jpg","208 Nam Kỳ Khởi Nghĩa, P. 6, Q. 3","10.78291316209961","106.69139998280332",
"Buffet Tối Trên 80 Món Nướng & Lẩu Nhật Hàn, Free Nước,Tráng Miệng, Món Ăn Kèm – Mogu Mogu BBQ","Thưởng Thức Buffet Nướng Và Lẩu Nhật, Hàn Quốc Trong Không Gian Sang Trọng, Ấm Cúng Của MoguMogu BBQ. Voucher 289,000 VNĐ, Còn 209,000 VNĐ, Giảm 28%. Chỉ Có Tại Hotdeal.vn!",http://www.hotdeal.vn/ho-chi-minh/an-uong/buffet-toi-tren-80-mon-nuong-lau-nhat-han-free-nuoc-ngot-trang-mieng-che-mon-an-kem-mogu-mogu-bbq-242621.html,"209,000","-28%","289,000","http://images-hd.vinacdn.com/images/968/967737/500x500/242621-buffet-toi-tren-80-mon-nuong-lau-nhat-han-free-nuoc-ngot-trang-mieng-che-mon-an-kem-mogu-mogu-bbq.jpg","280 Nguyễn Đình Chiểu, P6, Q3","10.7758","106.68727999999999",
